Model,MAE,RMSE,R2 Score
Gradient Boosting,0.00012748014631744516,0.0011637347892436561,0.9949347662962841
Random Forest,8.065344557012894e-05,0.001194914200176729,0.9946597093142955
Decision Tree,6.725760778725147e-05,0.0014340037612611408,0.9923088366757338
Linear Regression,0.0013317048377901222,0.002158352859278083,0.9825764619993059
